time,powerPV,consFromPV,consFromGrid,consFromBat,chargeBat,batSOC,powerToGrid,chargerPower
00:00,-0.27,0.23,32.6,201.97,,79.0,,0.0
00:05,-0.34,0.28,0.6,266.32,,78.0,,0.0
00:10,-0.34,0.22,3.0,252.78,,77.4,,0.0
00:15,-0.34,0.19,1.8,230.01,,77.0,,0.0
00:20,-0.34,0.21,0.0,195.8,,76.0,,0.0
00:25,-0.34,0.16,3.6,192.24,,75.4,,0.0
00:30,-0.34,0.32,6.0,189.68,,75.0,,0.0
00:35,-0.34,0.22,6.0,189.78,,75.0,,0.0
00:40,-0.34,0.4,6.0,189.59,,74.4,,0.0
00:45,-0.34,0.22,13.6,251.18,,74.0,,0.0
00:50,-0.34,0.08,14.0,250.92,,73.2,,0.0
00:55,-0.34,0.16,9.6,250.44,,72.6,,0.0
01:00,-0.34,0.15,7.2,192.05,,72.0,,0.0
01:05,-0.34,0.19,6.0,178.81,,72.0,,0.0
01:10,-0.34,0.08,6.0,178.92,,71.0,,0.0
01:15,-0.34,0.23,5.2,160.37,,71.0,,0.0
01:20,-0.34,0.06,2.0,86.94,,71.0,,0.0
01:25,-0.34,0.06,1.2,119.74,,70.8,,0.0
01:30,-0.34,0.04,0.0,168.97,,70.0,,0.0
01:35,-0.34,0.11,0.0,168.89,,70.0,,0.0
01:40,-0.34,0.14,0.8,152.66,,70.0,,0.0
01:45,-0.34,0.14,4.0,87.86,,69.6,,0.0
01:50,-0.34,0.27,4.0,87.73,,69.0,,0.0
01:55,-0.34,0.2,4.0,87.8,,69.0,,0.0
02:00,-0.34,0.31,4.0,87.69,,69.0,,0.0
02:05,-0.34,0.36,4.0,87.64,,69.0,,0.0
02:10,-0.34,0.1,9.0,149.3,,68.8,,0.0
02:15,-0.34,0.32,18.0,156.68,,68.0,,0.0
02:20,-0.34,0.32,18.0,156.71,,68.0,,0.0
02:25,-0.34,0.15,6.0,120.85,,68.0,,0.0
02:30,-0.34,0.23,-2.0,96.77,,68.0,2.0,0.0
02:35,-0.34,0.22,-2.0,96.78,,67.0,2.0,0.0
02:40,-0.34,0.22,-2.0,96.78,,67.0,2.0,0.0
02:45,-0.34,0.3,-3.8,108.1,,67.0,3.8,0.0
02:50,-0.34,0.01,-0.2,119.19,,67.0,,0.0
02:55,-0.34,0.11,14.0,159.89,,66.6,,0.0
03:00,-0.34,0.01,14.0,159.99,,66.0,,0.0
03:05,-0.34,0.07,5.8,142.53,,66.0,,0.0
03:10,-0.36,0.18,0.0,95.82,,66.0,,0.0
03:15,-0.37,0.1,-1.0,98.7,,65.8,0.4,0.0
03:20,-0.35,0.17,4.0,86.83,,65.0,,0.0
03:25,-0.35,0.18,4.6,86.22,,65.0,,0.0
03:30,-0.46,0.0,5.0,86.0,,65.0,,0.0
03:35,-0.49,0.06,6.4,158.94,,65.0,7.0,0.0
03:40,-0.61,0.0,7.4,245.4,,64.4,,0.0
03:45,-0.69,0.1,7.2,264.7,,63.8,,0.0
03:50,-0.85,0.0,7.0,249.8,,63.0,,0.0
03:55,-1.11,0.0,3.8,193.2,,62.8,,0.0
04:00,-1.39,0.0,3.2,193.8,,62.0,,0.0
04:05,-2.1,0.0,3.6,193.4,,62.0,,0.0
04:10,-0.97,1.03,1.2,191.76,,61.8,,0.0
04:15,6.81,6.0,2.6,185.4,,61.0,,0.0
04:20,7.86,7.21,13.4,236.59,,61.0,,0.0
04:25,9.48,8.82,22.4,241.78,,60.0,,0.0
04:30,11.66,10.56,25.0,237.44,,59.4,,0.0
04:35,14.36,12.26,12.8,198.74,,59.0,,0.0
04:40,17.71,14.87,3.2,172.93,,58.4,,0.0
04:45,22.56,18.99,7.2,164.81,,58.0,,0.0
04:50,28.67,23.6,5.4,162.0,,58.0,,0.0
04:55,36.64,30.02,4.0,156.98,,57.6,,0.0
05:00,46.3,33.8,1.8,90.2,,57.0,,0.0
05:05,57.36,50.87,-0.2,987.73,,56.4,2.2,0.0
05:10,69.61,60.39,0.4,681.61,,55.2,0.2,0.0
05:15,81.89,75.62,4.2,1465.62,,53.2,,0.0
05:20,95.1,77.51,-1.4,480.09,,52.0,1.4,0.0
05:25,109.71,124.06,28.8,227.94,,52.0,51.4,0.0
05:30,123.32,85.11,-1.2,8.09,,52.0,3.4,0.0
05:35,136.39,89.2,0.6,0.0,3.82,52.0,,0.0
05:40,149.67,124.85,2.2,596.15,,51.6,,0.0
05:45,162.55,120.65,4.4,27.15,,51.0,,0.0
05:50,175.75,137.63,4.8,26.57,,51.0,,0.0
05:55,189.59,151.06,0.2,34.34,,51.0,,0.0
06:00,202.73,144.61,-2.8,12.39,1.71,51.0,2.2,0.0
06:05,216.3,123.4,-2.0,0.0,47.58,51.0,2.4,0.0
06:10,232.61,124.0,-4.6,0.0,60.81,51.0,6.0,0.0
06:15,247.64,124.2,-2.2,0.0,77.04,51.0,1.4,0.0
06:20,266.37,123.8,0.2,0.0,95.03,51.0,,0.0
06:25,295.32,124.6,1.4,0.0,121.17,51.0,,0.0
06:30,303.17,177.4,6.2,0.0,77.67,52.0,,0.0
06:35,328.18,188.8,9.2,0.0,91.38,52.0,,0.0
06:40,346.38,186.0,2.4,0.0,110.7,52.0,,0.0
06:45,344.75,145.2,0.8,0.0,151.97,52.0,,0.0
06:50,346.0,122.0,-2.4,0.0,171.88,52.6,2.6,0.0
06:55,342.79,301.4,4.0,24.0,,53.0,,0.0
07:00,352.06,308.78,-1.4,2.62,,53.0,1.4,0.0
07:05,365.69,309.2,1.6,0.0,11.97,53.0,,0.0
07:10,377.54,300.61,-0.2,10.79,16.27,53.0,2.0,0.0
07:15,423.05,376.94,3.0,35.66,,53.0,,0.0
07:20,436.45,342.8,6.0,0.0,45.31,53.0,,0.0
07:25,460.04,273.4,1.6,0.0,135.4,53.0,,0.0
07:30,491.56,207.0,2.8,0.0,229.85,53.0,,0.0
07:35,495.53,187.6,-1.6,0.0,251.76,53.6,1.8,0.0
07:40,510.07,202.6,1.6,0.0,249.82,54.0,,0.0
07:45,540.27,207.8,-0.6,0.0,274.29,54.2,1.2,0.0
07:50,993.53,184.0,-0.2,0.0,748.45,55.2,2.8,0.0
07:55,1754.63,227.8,-1.2,0.0,1424.62,56.8,7.0,0.0
08:00,2450.8,295.0,-0.2,0.0,2026.98,59.6,,0.0
08:05,2684.68,248.4,-3.6,0.0,2303.13,63.0,2.2,0.0
08:10,2872.2,312.8,-3.0,0.0,2425.97,66.6,2.0,0.0
08:15,2978.66,280.8,0.4,0.0,2556.88,70.8,0.4,0.0
08:20,3052.97,271.8,0.4,0.0,2632.99,74.8,0.2,0.0
08:25,3132.83,275.8,-1.0,0.0,2712.36,79.0,0.0,0.0
08:30,3292.49,242.8,0.2,0.0,2853.0,83.0,49.0,0.0
08:35,3389.39,186.4,0.0,0.0,1914.72,86.8,1150.6,0.0
08:40,3385.23,240.0,0.0,0.0,1693.89,89.8,1312.2,0.0
08:45,3431.03,254.98,0.0,0.22,343.6,95.6,2708.0,0.0
08:50,3652.39,259.12,0.0,0.28,,100.0,3269.2,0.0
08:55,3749.14,225.76,0.0,0.24,,100.0,3399.6,0.0
09:00,3877.17,196.8,0.0,0.2,,100.0,3550.0,0.0
09:05,3980.4,197.2,0.0,0.2,,100.0,3644.8,0.0
09:10,4103.14,199.4,0.0,0.2,,100.0,3766.2,0.0
09:15,4176.69,197.81,0.0,0.19,,100.0,3838.4,0.0
09:20,4241.42,198.61,0.0,0.19,,100.0,3899.6,0.0
09:25,4280.09,264.75,0.0,0.25,,100.0,3870.0,0.0
09:30,4430.74,254.37,0.0,0.23,,100.0,4027.8,0.0
09:35,4519.47,262.93,0.0,0.27,,100.0,4104.6,0.0
09:40,4597.41,203.2,0.0,0.2,,100.0,4235.6,0.0
09:45,4676.76,634.05,0.0,0.55,,100.0,3885.2,0.0
09:50,4771.05,638.99,0.0,0.61,,100.0,3965.6,0.0
09:55,4845.09,250.96,0.0,0.24,,100.0,4426.2,0.0
10:00,4915.82,1841.13,0.0,1.87,,100.0,2900.6,0.0
10:05,4980.92,1938.65,0.0,1.95,,100.0,2866.8,0.0
10:10,5059.98,394.81,0.0,0.39,,100.0,4487.6,0.0
10:15,5123.41,502.55,0.0,0.45,343.57,99.8,4088.8,0.0
10:20,5167.19,236.77,0.0,0.23,,100.0,4740.6,0.0
10:25,5287.89,275.94,0.0,0.26,,100.0,4825.0,0.0
10:30,5345.21,274.74,0.0,0.26,,100.0,4874.8,0.0
10:35,5348.91,273.35,0.0,0.25,,100.0,4890.4,0.0
10:40,5327.62,224.99,0.0,0.21,,100.0,4914.4,0.0
10:45,5299.61,212.6,0.0,0.2,,100.0,4891.0,0.0
10:50,5425.89,429.61,0.0,0.39,,100.0,4808.0,0.0
10:55,5663.5,504.75,0.0,0.45,,100.0,4953.8,0.0
11:00,5358.25,464.17,0.0,0.43,,100.0,4698.0,0.0
11:05,5243.85,430.39,0.0,0.41,,100.0,4626.6,0.0
11:10,5678.4,375.27,0.0,0.33,,100.0,5091.6,0.0
11:15,5168.77,366.29,0.0,0.31,,100.0,4615.6,0.0
11:20,5099.95,339.73,0.0,0.27,,100.0,4575.4,0.0
11:25,5724.67,296.75,0.0,0.25,,100.0,5205.6,0.0
11:30,5778.83,306.73,0.0,0.27,,100.0,5249.2,0.0
11:35,5329.81,298.33,0.0,0.27,,100.0,4840.2,0.0
11:40,4817.6,289.96,0.0,0.24,,100.0,4337.0,0.0
11:45,5017.09,332.91,0.0,0.31,,100.0,4501.38,0.0
11:50,5690.53,360.08,0.0,0.32,,100.0,5124.8,0.0
11:55,4929.56,350.84,0.0,0.36,,100.0,4432.0,0.0
12:00,4668.77,347.02,0.0,0.38,,100.0,4134.4,0.0
12:05,4448.28,285.28,0.0,0.32,,100.0,4006.2,0.0
12:10,5074.59,276.14,0.0,0.26,,100.0,4809.6,0.0
12:15,4863.02,225.89,0.0,0.31,,100.0,4454.4,0.0
12:20,5640.77,272.36,0.0,0.24,,100.0,5150.6,0.0
12:25,5750.61,287.4,0.0,0.2,,100.0,5249.2,0.0
12:30,5751.81,288.0,0.0,0.2,,100.0,5249.2,0.0
12:35,5531.97,286.56,0.0,0.24,,100.0,5112.6,0.0
12:40,5596.45,278.35,0.0,0.25,,100.0,5088.2,0.0
12:45,5535.39,252.0,0.0,0.2,,100.0,5088.0,0.0
12:50,5693.54,232.84,0.0,0.16,,100.0,5249.8,0.0
12:55,5832.65,222.07,0.0,0.13,574.96,99.8,4816.0,0.0
13:00,5693.59,226.8,0.0,0.2,,100.0,5249.0,0.0
13:05,5722.07,255.57,0.0,0.23,,100.0,5232.4,0.0
13:10,5511.8,284.15,0.0,0.25,,100.0,5015.0,0.0
13:15,5747.88,283.8,0.0,0.2,,100.0,5249.0,0.0
13:20,5749.26,283.8,0.0,0.2,,100.0,5249.0,0.0
13:25,5720.06,249.6,0.0,0.2,,100.0,5249.2,0.0
13:30,5694.72,226.8,0.0,0.2,,100.0,5249.6,0.0
13:35,5691.06,226.8,0.0,0.2,,100.0,5249.0,0.0
13:40,5689.82,226.83,0.0,0.17,,100.0,5249.0,0.0
13:45,5722.4,257.22,0.0,0.18,,100.0,5249.4,0.0
13:50,5763.35,295.6,0.0,0.2,,100.0,5249.2,0.0
13:55,5758.46,290.2,0.0,0.2,,100.0,5249.0,0.0
14:00,5755.58,287.8,0.0,0.2,,100.0,5249.0,0.0
14:05,5733.82,265.82,0.0,0.18,,100.0,5249.0,0.0
14:10,5700.22,232.84,0.0,0.16,,100.0,5249.0,0.0
14:15,5317.65,308.94,0.0,0.26,,100.0,4800.0,0.0
14:20,5485.0,329.1,0.0,0.3,,100.0,4954.2,0.0
14:25,5668.72,347.32,0.0,0.28,,100.0,5114.8,0.0
14:30,5666.87,394.72,0.0,0.28,,100.0,5067.4,0.0
14:35,5610.11,383.31,0.0,0.29,,100.0,5022.4,0.0
14:40,5435.37,379.45,0.0,0.33,,100.0,4856.41,0.0
14:45,4879.33,347.01,0.0,0.39,,100.0,4231.0,0.0
14:50,3674.29,302.05,0.0,0.55,,100.0,3236.6,0.0
14:55,1552.39,286.28,0.0,0.92,,100.0,1197.8,0.0
15:00,4549.48,304.01,0.0,0.39,,100.0,4078.6,0.0
15:05,4847.43,720.24,0.0,0.76,,100.0,3956.2,0.0
15:10,4342.71,760.34,0.0,0.86,,100.0,3454.0,0.0
15:15,4340.19,364.94,0.0,0.46,,100.0,3801.4,0.0
15:20,4662.92,366.38,0.0,0.42,,100.0,4138.6,0.0
15:25,3443.34,358.41,0.0,0.59,,100.0,2981.4,0.0
15:30,4749.77,304.08,0.0,0.32,,100.0,4276.4,0.0
15:35,4302.96,323.42,0.0,0.38,,100.0,3845.6,0.0
15:40,4718.36,307.94,0.0,0.26,569.31,99.8,3666.8,0.0
15:45,4557.47,299.67,0.0,0.33,,100.0,4087.0,0.0
15:50,2556.39,340.17,0.0,0.83,,100.0,2134.2,0.0
15:55,1319.88,339.91,0.0,1.29,,100.0,917.2,0.0
