time,powerPV,consFromPV,consFromGrid,consFromBat,chargeBat,batSOC,powerToGrid,chargerPower
00:00,-0.27,0.02,10.0,71.58,-94.58,75.0,-10.0,0.0
00:05,-0.34,0.01,-8.0,87.99,-117.16,75.0,7.99,0.0
00:10,-0.34,0.15,4.2,133.84,-163.07,74.6,-4.2,0.0
00:15,-0.34,0.41,15.2,161.52,-189.78,74.0,-15.32,0.0
00:20,-0.34,0.12,19.6,157.27,-185.93,74.0,-19.59,0.0
00:25,-0.34,0.06,8.4,119.94,-148.12,74.0,-8.4,0.0
00:30,-0.34,0.22,0.0,95.77,-123.5,73.6,0.02,0.0
00:35,-0.34,0.12,0.0,95.88,-123.51,73.0,0.0,0.0
00:40,-0.34,0.1,0.0,95.88,-123.51,73.0,0.02,0.0
00:45,-0.34,0.13,2.0,109.48,-136.68,73.0,-2.61,0.0
00:50,-0.34,0.4,13.8,159.8,-189.32,73.0,-13.8,0.0
00:55,-0.34,0.29,8.4,222.71,-252.9,72.2,-8.4,0.0
01:00,-0.34,0.23,0.4,252.74,-282.93,71.8,-0.36,0.0
01:05,-0.34,0.35,2.0,204.65,-233.75,71.0,-2.0,0.0
01:10,-0.34,0.18,5.8,201.02,-230.37,70.2,-5.8,0.0
01:15,-0.34,0.16,10.2,196.64,-225.28,69.6,-10.2,0.0
01:20,-0.34,0.11,11.0,195.92,-225.28,69.0,-11.23,0.0
01:25,-0.34,0.14,13.4,245.46,-275.27,68.2,-13.4,0.0
01:30,-0.34,0.06,16.8,255.14,-286.28,67.6,-17.0,0.0
01:35,-0.34,0.09,21.0,250.91,-281.18,67.0,-21.0,0.0
01:40,-0.34,0.01,12.6,192.19,-221.8,66.0,-12.6,0.0
01:45,-0.34,0.22,9.0,178.78,-208.27,66.0,-9.0,0.0
01:50,-0.34,0.01,8.8,179.19,-208.28,66.0,-8.8,0.0
01:55,-0.34,0.03,8.6,179.37,-208.28,65.2,-8.8,0.0
02:00,-0.34,0.21,5.8,208.75,-238.79,65.0,-5.56,0.0
02:05,-0.34,0.22,6.0,248.78,-279.46,64.4,-6.0,0.0
02:10,-0.34,0.21,7.6,247.19,-278.17,63.8,-7.6,0.0
02:15,-0.34,0.25,6.4,202.75,-232.75,63.0,-6.2,0.0
02:20,-0.34,0.07,0.0,94.93,-123.35,63.0,0.0,0.0
02:25,-0.34,0.12,0.0,94.88,-123.39,63.0,0.0,0.0
02:30,-0.34,0.01,0.0,94.99,-122.56,62.0,0.0,0.0
02:35,-0.34,0.04,0.0,94.95,-122.57,62.0,0.01,0.0
02:40,-0.34,0.28,8.6,163.12,-192.2,62.0,-8.6,0.0
02:45,-0.34,0.15,12.0,159.85,-189.18,62.0,-12.0,0.0
02:50,-0.34,0.11,12.0,159.89,-189.15,61.2,-12.0,0.0
02:55,-0.34,0.0,3.0,97.0,-123.78,61.0,-3.0,0.0
03:00,-0.34,0.0,3.0,97.0,-123.8,61.0,-3.0,0.0
03:05,-0.34,0.02,3.0,96.98,-124.23,61.0,-3.0,0.0
03:10,-0.34,0.01,3.0,96.99,-123.81,61.0,-3.0,0.0
03:15,-0.34,16.51,105.8,136.49,-365.84,60.2,4.8,0.0
03:20,-0.34,0.08,2.6,162.32,-191.63,60.0,-2.8,0.0
03:25,-0.34,0.22,0.0,150.78,-178.47,60.0,0.0,0.0
03:30,-0.34,0.34,2.4,101.86,-130.1,60.0,-2.4,0.0
03:35,-0.34,0.24,3.0,89.76,-116.97,59.0,-3.0,0.0
03:40,-0.35,0.14,1.8,126.26,-153.93,59.0,-2.0,0.0
03:45,-0.35,0.13,2.2,130.27,-158.94,59.0,-2.2,0.0
